from,to,partial_corr,abs_partial_corr,edge_type,source
bronze_duration_mean,bronze_duration_std,0.7080308620920317,0.7080308620920317,undirected,graphical_lasso
raw_distance_mean,raw_distance_std,0.6470327907566943,0.6470327907566943,undirected,graphical_lasso
bronze_distance_km_mean,bronze_distance_km_std,0.6367658188358585,0.6367658188358585,undirected,graphical_lasso
silver_ml_imputed_fuel_std,silver_ml_prediction_std,0.4434655389712491,0.4434655389712491,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,0.41153061655843065,0.41153061655843065,undirected,graphical_lasso
mean_fuel_per_100km,silver_avg_speed_imputed,0.38560814855922365,0.38560814855922365,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,0.30535675514689364,0.30535675514689364,undirected,graphical_lasso
silver_ml_prediction_mean,silver_ml_prediction_std,0.3010466306666419,0.3010466306666419,undirected,graphical_lasso
bronze_impossible_speed_events,bronze_ingestion_duration_sec,0.2901304544155955,0.2901304544155955,undirected,graphical_lasso
raw_avg_speed_mean,raw_distance_mean,-0.27130153197536455,0.27130153197536455,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_std,0.25908003967115295,0.25908003967115295,undirected,graphical_lasso
silver_ml_prediction_mean,silver_ml_residual_std,0.25713160935742335,0.25713160935742335,undirected,graphical_lasso
bronze_excessive_daily_events_units,mean_fuel_per_100km,0.2290350917023239,0.2290350917023239,undirected,graphical_lasso
raw_distance_mean,bronze_distance_km_mean,0.21567385546579068,0.21567385546579068,undirected,whitelist_estimated
bronze_distance_km_mean,mean_fuel_per_100km,-0.19001369488084682,0.19001369488084682,undirected,whitelist_estimated
raw_distance_std,raw_max_trip_end_ts,0.16262032929040082,0.16262032929040082,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,0.15378675120854948,0.15378675120854948,undirected,graphical_lasso
mean_fuel_per_100km,silver_ml_residual_std,0.14872015748640413,0.14872015748640413,undirected,graphical_lasso
silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,0.13841139200896993,0.13841139200896993,undirected,graphical_lasso
silver_ml_percentage_error_mean,silver_ml_prediction_mean,0.1265013700280699,0.1265013700280699,undirected,graphical_lasso
mean_idling_per_100km,raw_avg_speed_std,-0.12623094182562736,0.12623094182562736,undirected,graphical_lasso
mean_idling_per_100km,raw_avg_speed_mean,-0.1252134408607334,0.1252134408607334,undirected,graphical_lasso
bronze_excessive_daily_events_units,bronze_survival_rate,-0.11731348891272066,0.11731348891272066,undirected,graphical_lasso
raw_avg_speed_mean,raw_distance_std,-0.10593628627113975,0.10593628627113975,undirected,graphical_lasso
bronze_ingestion_duration_sec,mean_fuel_per_100km,0.10283653362488036,0.10283653362488036,undirected,graphical_lasso
bronze_duration_mean,silver_avg_speed_imputed,-0.10281728030013088,0.10281728030013088,undirected,whitelist_estimated
bronze_distance_km_mean,mean_idling_per_100km,-0.07977616644072072,0.07977616644072072,undirected,whitelist_estimated
raw_avg_speed_mean,bronze_duration_mean,0.06037818873894217,0.06037818873894217,undirected,whitelist_recovered
bronze_distance_km_mean,silver_avg_speed_imputed,-0.013718885215684231,0.013718885215684231,undirected,whitelist_recovered
