from,to,frequency
bronze_distance_km_mean,raw_max_trip_end_ts,1.0
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,1.0
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,1.0
bronze_null_primary_key_rows,raw_null_count_start,1.0
bronze_null_primary_key_rows,raw_null_count_unit_id,1.0
bronze_rows_dropped_by_rules,bronze_duration_mean,1.0
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,1.0
bronze_survival_rate,bronze_correction_trips_removed,1.0
bronze_survival_rate,bronze_excessive_daily_events_units,1.0
bronze_survival_rate,bronze_start_after_end_rows,1.0
p95_fuel_per_100km,raw_null_count_distance,1.0
p95_idling_per_100km,bronze_idle_time_invalid_corrected,1.0
p95_idling_per_100km,raw_distance_mean,1.0
p95_idling_per_100km,raw_null_count_idle_time,1.0
raw_max_trip_end_ts,bronze_distance_km_mean,1.0
raw_null_count_avg_speed,raw_null_count_idle_time,1.0
raw_null_count_distance,p95_fuel_per_100km,1.0
raw_null_count_distance,raw_null_count_fuel_consumption_fms_low,1.0
raw_null_count_distance,raw_poor_gps_coverage_count,1.0
raw_null_count_fuel_consumption_fms_low,raw_null_count_distance,1.0
raw_null_count_idle_time,raw_null_count_avg_speed,1.0
raw_null_count_start_longitude,raw_null_count_fuel_consumption_fms_low,1.0
silver_avg_speed_imputed,raw_null_count_avg_speed,1.0
raw_poor_gps_coverage_count,raw_null_count_distance,1.0
silver_ingestion_duration_sec,raw_null_count_unit_id,1.0
silver_ingestion_duration_sec,raw_ingestion_duration_sec,1.0
silver_null_vehicle_fuel_subtype_rows,silver_vehicle_type_nulls,1.0
silver_vehicle_info_join_miss_rate,raw_max_trip_end_ts,1.0
silver_ml_large_error_count,silver_ml_imputed_fuel_p95,1.0
silver_ml_large_error_count,silver_null_vehicle_fuel_subtype_rows,1.0
silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls,1.0
silver_vehicle_type_nulls,silver_null_vehicle_fuel_subtype_rows,1.0
silver_avg_speed_imputed,raw_avg_speed_mean,0.98
raw_null_count_start_longitude,bronze_duplicate_rows_removed,0.98
